gene,beta,gamma
Msx3,2.1169038,0.06433991
Hoxb2,2.1051538,0.0625502
Nkx2-9,1.9129213,0.092042014
Msx1,1.8492861,0.05678147
Ptx3,1.7471145,0.07032982
Olig3,1.7408352,0.06579301
Trh,1.6574954,0.06595214
Pou3f1,1.5410323,0.0820246
Gsx2,1.4920528,0.07131976
Hes3,1.4797281,0.076497965
Mafb,1.4672102,0.068322815
Msx2,1.4498454,0.0754638
Irx1,1.291984,0.075074635
Fzd10,1.2371595,0.079836875
Fgf3,1.2000681,0.079345845
Shh,1.0351672,0.11027139
Foxa2,0.9054012,0.08925141
Efna2,0.85962087,0.0841877
Nkx6-1,0.7994778,0.08532973
En2,0.74969995,0.13356946
Hoxb1,0.74162,0.075232774
Fzd8,0.72698015,0.12581713
Irs4,0.6817924,0.08673127
Sost,0.6591718,0.14210986
Foxa1,0.643616,0.6374943
Foxj1,0.6379527,0.0944909
Dbx1,0.59418684,0.09861366
En1,0.55686957,0.11470818
Fezf2,0.54359865,0.07886225
Fgf15,0.46922162,0.08224638
Wnt4,0.41849157,0.09887684
Rax,0.41086254,0.073093
Fgf8,0.4050188,0.093635924
Fgfr3,0.37137768,0.0773248
Dmrt1,0.3439019,0.12243014
Fezf1,0.32691756,0.0858312
Metrnl,0.2978373,0.09380012
Six6,0.2941252,0.07492337
Rxrg,0.2863938,0.093012474
Irx3,0.25782147,0.08150027
Dlk1,0.2532851,0.09050376
Nkx2-1,0.22472793,0.12232908
Dlx2,0.21826369,0.108199246
Nkx6-2,0.20408806,0.062582105
Folr1,0.2014234,0.09588679
Wnt7b,0.19284715,0.080620736
Hopx,0.18041706,0.15428953
Apela,0.1765843,0.16020592
Wnt3,0.17574294,0.10419926
Bambi,0.17424348,0.09528413
Phox2b,0.16718222,0.13741776
Ngf,0.1612832,0.18047282
Tal2,0.15683937,0.093389556
Calca,0.15361899,0.18805127
Cx3cl1,0.1294722,0.25411874
Fzd5,0.12945455,0.17980112
Trhr,0.12942778,0.6294662
Wnt8b,0.12794556,0.10838701
Maf,0.10952167,0.081750534
Nr2e1,0.096289046,0.19082665
Sp8,0.0951436,0.1368118
Bmp6,0.09113509,0.9956113
Bmp7,0.08936162,0.07225485
Pappa,0.08891927,0.6402621
Irx5,0.08876095,1.628143
Stum,0.08834735,0.10499816
Dmrt3,0.08804565,0.22384231
Nkx2-2,0.0876795,1.5145551
Fgf17,0.08646716,0.075471446
Lrtm1,0.08619719,0.0891428
Rspo1,0.08611238,0.100334466
Pax7,0.08439888,0.17621589
Sim1,0.083920404,0.9225029
Tox2,0.083623245,0.40870157
Ostm1,0.083068155,0.9281206
Lmx1b,0.08105903,0.5560389
Gli3,0.08057966,1.0966113
Rspo3,0.080328695,0.09137716
Sema5a,0.078325644,0.5367549
Lmo2,0.07801031,0.108110964
Ism1,0.07526103,0.55400515
Lhx5,0.07464103,0.08633224
Emx2,0.07351116,0.097320884
Ptprz1,0.07228461,0.5957
Wnt5b,0.071783476,0.6880766
Eya4,0.07165866,0.96430206
Nrg1,0.07075637,2.0046847
Pax5,0.07065134,0.84181446
Pax3,0.070468105,0.690477
Unc5c,0.06998592,2.9064374
Bnc2,0.06978382,0.07680314
Pax6,0.06752576,0.31254825
Cnpy1,0.06690669,0.0946759
Ntn1,0.06687015,0.54952276
Wnt9a,0.06636419,0.7946992
Pax8,0.06596951,0.07170484
Ntf3,0.06555956,0.11424516
Egfem1,0.065508395,2.088891
Ednrb,0.06140108,0.14774092
Lmx1a,0.060531035,0.39512882
Ptch1,0.05982815,0.39178318
Dkk2,0.058032718,0.20368706
Wnt5a,0.057686377,0.2040986
Bmp4,0.057141688,0.1297009
Igfbp5,0.056815352,0.10948744
Wnt3a,0.056311265,0.21657984
Rspo2,0.05599302,0.27916443
Wnt1,0.055574704,0.06733073
Ror1,0.054631073,2.69107
Tfap2c,0.052389476,0.115085565
Six3,0.051487442,1.922884
Klhl14,0.050292403,0.27709916
Veph1,0.05005749,0.5943297
Spon1,0.048236262,0.1844205
Nrg3,0.03874337,3.4224994
Ephb2,0.03431697,0.31347567
Slit1,0.030495625,0.2802771
