Transcription_Factor,Terminal_Fate,WT_Cells,KO_Cells,Impact_Amplitude
Apela,0,1262,0,1262
Apela,1,838,0,838
Apela,2,1996,4096,-2100
Bambi,0,1262,1572,-310
Bambi,1,838,871,-33
Bambi,2,1996,1653,343
Bmp4,0,1262,1247,15
Bmp4,1,838,821,17
Bmp4,2,1996,2028,-32
Bmp6,0,1262,3359,-2097
Bmp6,1,838,0,838
Bmp6,2,1996,737,1259
Bmp7,0,1262,4096,-2834
Bmp7,1,838,0,838
Bmp7,2,1996,0,1996
Bnc2,0,1262,967,295
Bnc2,1,838,824,14
Bnc2,2,1996,2305,-309
Calca,0,1262,4096,-2834
Calca,1,838,0,838
Calca,2,1996,0,1996
Cnpy1,0,1262,1251,11
Cnpy1,1,838,830,8
Cnpy1,2,1996,2015,-19
Cx3cl1,0,1262,0,1262
Cx3cl1,1,838,0,838
Cx3cl1,2,1996,4096,-2100
Dbx1,0,1262,0,1262
Dbx1,1,838,0,838
Dbx1,2,1996,4096,-2100
Dkk2,0,1262,1253,9
Dkk2,1,838,850,-12
Dkk2,2,1996,1993,3
Dlk1,0,1262,1247,15
Dlk1,1,838,839,-1
Dlk1,2,1996,2010,-14
Dlx2,0,1262,1263,-1
Dlx2,1,838,823,15
Dlx2,2,1996,2010,-14
Dmrt1,0,1262,948,314
Dmrt1,1,838,1527,-689
Dmrt1,2,1996,1621,375
Dmrt3,0,1262,1253,9
Dmrt3,1,838,828,10
Dmrt3,2,1996,2015,-19
Ednrb,0,1262,1260,2
Ednrb,1,838,821,17
Ednrb,2,1996,2015,-19
Efna2,0,1262,1269,-7
Efna2,1,838,844,-6
Efna2,2,1996,1983,13
Egfem1,0,1262,1260,2
Egfem1,1,838,1214,-376
Egfem1,2,1996,1622,374
Emx2,0,1262,3099,-1837
Emx2,1,838,982,-144
Emx2,2,1996,15,1981
En1,0,1262,1250,12
En1,1,838,834,4
En1,2,1996,2012,-16
En2,0,1262,1242,20
En2,1,838,0,838
En2,2,1996,2854,-858
Ephb2,0,1262,0,1262
Ephb2,1,838,3534,-2696
Ephb2,2,1996,562,1434
Eya4,0,1262,1247,15
Eya4,1,838,831,7
Eya4,2,1996,2018,-22
Fezf1,0,1262,1156,106
Fezf1,1,838,0,838
Fezf1,2,1996,2940,-944
Fezf2,0,1262,0,1262
Fezf2,1,838,0,838
Fezf2,2,1996,4096,-2100
Fgf15,0,1262,1260,2
Fgf15,1,838,811,27
Fgf15,2,1996,2025,-29
Fgf17,0,1262,1255,7
Fgf17,1,838,838,0
Fgf17,2,1996,2003,-7
Fgf3,0,1262,1249,13
Fgf3,1,838,843,-5
Fgf3,2,1996,2004,-8
Fgf8,0,1262,3481,-2219
Fgf8,1,838,0,838
Fgf8,2,1996,615,1381
Fgfr3,0,1262,88,1174
Fgfr3,1,838,836,2
Fgfr3,2,1996,3172,-1176
Folr1,0,1262,0,1262
Folr1,1,838,3303,-2465
Folr1,2,1996,793,1203
Foxa1,0,1262,1257,5
Foxa1,1,838,827,11
Foxa1,2,1996,2012,-16
Foxa2,0,1262,3253,-1991
Foxa2,1,838,0,838
Foxa2,2,1996,843,1153
Foxj1,0,1262,0,1262
Foxj1,1,838,4096,-3258
Foxj1,2,1996,0,1996
Fzd10,0,1262,1253,9
Fzd10,1,838,838,0
Fzd10,2,1996,2005,-9
Fzd5,0,1262,3914,-2652
Fzd5,1,838,0,838
Fzd5,2,1996,182,1814
Fzd8,0,1262,2936,-1674
Fzd8,1,838,1160,-322
Fzd8,2,1996,0,1996
Gli3,0,1262,1243,19
Gli3,1,838,831,7
Gli3,2,1996,2022,-26
Gsx2,0,1262,1693,-431
Gsx2,1,838,1994,-1156
Gsx2,2,1996,409,1587
Hes3,0,1262,1265,-3
Hes3,1,838,839,-1
Hes3,2,1996,1992,4
Hopx,0,1262,3625,-2363
Hopx,1,838,0,838
Hopx,2,1996,471,1525
Hoxb1,0,1262,0,1262
Hoxb1,1,838,0,838
Hoxb1,2,1996,4096,-2100
Hoxb2,0,1262,1249,13
Hoxb2,1,838,847,-9
Hoxb2,2,1996,2000,-4
Igfbp5,0,1262,0,1262
Igfbp5,1,838,4071,-3233
Igfbp5,2,1996,25,1971
Irs4,0,1262,1252,10
Irs4,1,838,823,15
Irs4,2,1996,2021,-25
Irx1,0,1262,0,1262
Irx1,1,838,4086,-3248
Irx1,2,1996,10,1986
Irx3,0,1262,1251,11
Irx3,1,838,826,12
Irx3,2,1996,2019,-23
Irx5,0,1262,0,1262
Irx5,1,838,4096,-3258
Irx5,2,1996,0,1996
Ism1,0,1262,291,971
Ism1,1,838,1238,-400
Ism1,2,1996,2567,-571
Klhl14,0,1262,1263,-1
Klhl14,1,838,828,10
Klhl14,2,1996,2005,-9
Lhx5,0,1262,1901,-639
Lhx5,1,838,833,5
Lhx5,2,1996,1362,634
Lmo2,0,1262,0,1262
Lmo2,1,838,4096,-3258
Lmo2,2,1996,0,1996
Lmx1a,0,1262,3851,-2589
Lmx1a,1,838,0,838
Lmx1a,2,1996,245,1751
Lmx1b,0,1262,1245,17
Lmx1b,1,838,884,-46
Lmx1b,2,1996,1967,29
Lrtm1,0,1262,3056,-1794
Lrtm1,1,838,0,838
Lrtm1,2,1996,1040,956
Maf,0,1262,1267,-5
Maf,1,838,821,17
Maf,2,1996,2008,-12
Mafb,0,1262,1271,-9
Mafb,1,838,817,21
Mafb,2,1996,2008,-12
Metrnl,0,1262,0,1262
Metrnl,1,838,0,838
Metrnl,2,1996,4096,-2100
Msx1,0,1262,3802,-2540
Msx1,1,838,0,838
Msx1,2,1996,294,1702
Msx2,0,1262,1251,11
Msx2,1,838,824,14
Msx2,2,1996,2021,-25
Msx3,0,1262,1646,-384
Msx3,1,838,816,22
Msx3,2,1996,1634,362
Ngf,0,1262,0,1262
Ngf,1,838,4096,-3258
Ngf,2,1996,0,1996
Nkx2-1,0,1262,0,1262
Nkx2-1,1,838,3392,-2554
Nkx2-1,2,1996,704,1292
Nkx2-2,0,1262,1249,13
Nkx2-2,1,838,835,3
Nkx2-2,2,1996,2012,-16
Nkx2-9,0,1262,1253,9
Nkx2-9,1,838,835,3
Nkx2-9,2,1996,2008,-12
Nkx6-1,0,1262,0,1262
Nkx6-1,1,838,4096,-3258
Nkx6-1,2,1996,0,1996
Nkx6-2,0,1262,1260,2
Nkx6-2,1,838,838,0
Nkx6-2,2,1996,1998,-2
Nr2e1,0,1262,1,1261
Nr2e1,1,838,2390,-1552
Nr2e1,2,1996,1705,291
Nrg1,0,1262,2140,-878
Nrg1,1,838,830,8
Nrg1,2,1996,1126,870
Nrg3,0,1262,0,1262
Nrg3,1,838,327,511
Nrg3,2,1996,3769,-1773
Ntf3,0,1262,0,1262
Ntf3,1,838,19,819
Ntf3,2,1996,4077,-2081
Ntn1,0,1262,0,1262
Ntn1,1,838,4090,-3252
Ntn1,2,1996,6,1990
Olig3,0,1262,1256,6
Olig3,1,838,842,-4
Olig3,2,1996,1998,-2
Ostm1,0,1262,2,1260
Ostm1,1,838,0,838
Ostm1,2,1996,4094,-2098
Pappa,0,1262,1262,0
Pappa,1,838,813,25
Pappa,2,1996,2021,-25
Pax3,0,1262,1256,6
Pax3,1,838,844,-6
Pax3,2,1996,1996,0
Pax5,0,1262,0,1262
Pax5,1,838,3966,-3128
Pax5,2,1996,130,1866
Pax6,0,1262,1688,-426
Pax6,1,838,650,188
Pax6,2,1996,1758,238
Pax7,0,1262,1256,6
Pax7,1,838,840,-2
Pax7,2,1996,2000,-4
Pax8,0,1262,2748,-1486
Pax8,1,838,1105,-267
Pax8,2,1996,243,1753
Phox2b,0,1262,2870,-1608
Phox2b,1,838,0,838
Phox2b,2,1996,1226,770
Pou3f1,0,1262,1266,-4
Pou3f1,1,838,825,13
Pou3f1,2,1996,2005,-9
Ptch1,0,1262,1251,11
Ptch1,1,838,896,-58
Ptch1,2,1996,1949,47
Ptprz1,0,1262,4096,-2834
Ptprz1,1,838,0,838
Ptprz1,2,1996,0,1996
Ptx3,0,1262,1253,9
Ptx3,1,838,836,2
Ptx3,2,1996,2007,-11
Rax,0,1262,4096,-2834
Rax,1,838,0,838
Rax,2,1996,0,1996
Ror1,0,1262,4074,-2812
Ror1,1,838,0,838
Ror1,2,1996,22,1974
Rspo1,0,1262,0,1262
Rspo1,1,838,3762,-2924
Rspo1,2,1996,334,1662
Rspo2,0,1262,1266,-4
Rspo2,1,838,810,28
Rspo2,2,1996,2020,-24
Rspo3,0,1262,1255,7
Rspo3,1,838,834,4
Rspo3,2,1996,2007,-11
Rxrg,0,1262,1258,4
Rxrg,1,838,831,7
Rxrg,2,1996,2007,-11
Sema5a,0,1262,1268,-6
Sema5a,1,838,829,9
Sema5a,2,1996,1999,-3
Shh,0,1262,1233,29
Shh,1,838,842,-4
Shh,2,1996,2021,-25
Sim1,0,1262,1275,-13
Sim1,1,838,828,10
Sim1,2,1996,1993,3
Six3,0,1262,1265,-3
Six3,1,838,828,10
Six3,2,1996,2003,-7
Six6,0,1262,1247,15
Six6,1,838,842,-4
Six6,2,1996,2007,-11
Slit1,0,1262,1152,110
Slit1,1,838,2049,-1211
Slit1,2,1996,895,1101
Sost,0,1262,1623,-361
Sost,1,838,849,-11
Sost,2,1996,1624,372
Sp8,0,1262,1248,14
Sp8,1,838,842,-4
Sp8,2,1996,2006,-10
Spon1,0,1262,0,1262
Spon1,1,838,1235,-397
Spon1,2,1996,2861,-865
Stum,0,1262,3989,-2727
Stum,1,838,0,838
Stum,2,1996,107,1889
Tal2,0,1262,1239,23
Tal2,1,838,832,6
Tal2,2,1996,2025,-29
Tfap2c,0,1262,0,1262
Tfap2c,1,838,4074,-3236
Tfap2c,2,1996,22,1974
Tox2,0,1262,1266,-4
Tox2,1,838,834,4
Tox2,2,1996,1996,0
Trh,0,1262,1255,7
Trh,1,838,834,4
Trh,2,1996,2007,-11
Trhr,0,1262,1248,14
Trhr,1,838,820,18
Trhr,2,1996,2028,-32
Unc5c,0,1262,4096,-2834
Unc5c,1,838,0,838
Unc5c,2,1996,0,1996
Veph1,0,1262,691,571
Veph1,1,838,765,73
Veph1,2,1996,2640,-644
Wnt1,0,1262,1050,212
Wnt1,1,838,837,1
Wnt1,2,1996,2209,-213
Wnt3,0,1262,1250,12
Wnt3,1,838,842,-4
Wnt3,2,1996,2004,-8
Wnt3a,0,1262,1129,133
Wnt3a,1,838,851,-13
Wnt3a,2,1996,2116,-120
Wnt4,0,1262,1270,-8
Wnt4,1,838,836,2
Wnt4,2,1996,1990,6
Wnt5a,0,1262,1241,21
Wnt5a,1,838,1265,-427
Wnt5a,2,1996,1590,406
Wnt5b,0,1262,1249,13
Wnt5b,1,838,839,-1
Wnt5b,2,1996,2008,-12
Wnt7b,0,1262,386,876
Wnt7b,1,838,1064,-226
Wnt7b,2,1996,2646,-650
Wnt8b,0,1262,3575,-2313
Wnt8b,1,838,0,838
Wnt8b,2,1996,521,1475
Wnt9a,0,1262,1254,8
Wnt9a,1,838,828,10
Wnt9a,2,1996,2014,-18
