source,target,origin
A2M,LRP1,stMLnet
AANAT,MTNR1A,stMLnet
AANAT,MTNR1B,stMLnet
ACE,BDKRB2,stMLnet
ADAM10,EPHA3,stMLnet
ADAM11,ITGA4,stMLnet
ADAM12,ITGA9,stMLnet
ADAM12,ITGB1,stMLnet
ADAM12,SDC4,stMLnet
ADAM15,ITGA5,stMLnet
ADAM15,ITGA9,stMLnet
ADAM15,ITGAV,stMLnet
ADAM15,ITGB1,stMLnet
ADAM15,ITGB3,stMLnet
ADAM17,ITGA5,stMLnet
ADAM17,ITGB1,stMLnet
ADAM17,NOTCH1,stMLnet
ADAM2,ITGA6,stMLnet
ADAM2,ITGA9,stMLnet
ADAM2,ITGB1,stMLnet
ADAM2,ITGB7,stMLnet
ADAM23,ITGA4,stMLnet
ADAM23,ITGA5,stMLnet
ADAM23,ITGB3,stMLnet
ADAM28,ITGA4,stMLnet
ADAM29,ITGA4,stMLnet
ADAM7,ITGA4,stMLnet
ADAM7,ITGB7,stMLnet
ADAM9,ITGA3,stMLnet
ADAM9,ITGA6,stMLnet
ADAM9,ITGAV,stMLnet
ADAM9,ITGB1,stMLnet
ADAM9,ITGB5,stMLnet
ADCYAP1,ADCYAP1R1,stMLnet
ADCYAP1,SCTR,stMLnet
ADCYAP1,VIPR1,stMLnet
ADCYAP1,VIPR2,stMLnet
ADGRB1,RTN4R,stMLnet
ADGRB1,RTN4RL1,stMLnet
ADGRB1,RTN4RL2,stMLnet
ADGRE5,CD55,stMLnet
ADIPOQ,ADIPOR1,stMLnet
ADIPOQ,ADIPOR2,stMLnet
ADM,CALCR,stMLnet
ADM,CALCRL,stMLnet
ADM,GPR182,stMLnet
ADM,RAMP2,stMLnet
ADM,RAMP3,stMLnet
ADM2,CALCR,stMLnet
ADM2,CALCRL,stMLnet
ADM2,RAMP1,stMLnet
ADM2,RAMP2,stMLnet
ADM2,RAMP3,stMLnet
AFDN,EPHA7,stMLnet
AFDN,EPHB2,stMLnet
AFDN,EPHB3,stMLnet
AFDN,EPHB6,stMLnet
AFDN,F11R,stMLnet
AFDN,NECTIN1,stMLnet
AFDN,NECTIN2,stMLnet
AFDN,NECTIN3,stMLnet
AFDN,NECTIN4,stMLnet
AGRN,ATP1A3,stMLnet
AGRN,DAG1,stMLnet
AGRN,LRP4,stMLnet
AGRN,MUSK,stMLnet
AGRP,MC3R,stMLnet
AGRP,MC4R,stMLnet
AGRP,MC5R,stMLnet
AGRP,SDC3,stMLnet
AGT,AGTR1,stMLnet
AGT,AGTR2,stMLnet
AGT,LRP2,stMLnet
AGT,MAS1,stMLnet
AHSG,INSR,stMLnet
ALB,LRP2,stMLnet
ALCAM,CD6,stMLnet
ALCAM,CHL1,stMLnet
ALCAM,L1CAM,stMLnet
ALCAM,NRP1,stMLnet
ALKAL1,ALK,stMLnet
ALKAL2,ALK,stMLnet
ALOX5AP,ALOX5,stMLnet
AMBN,CD63,stMLnet
AMELX,CD63,stMLnet
AMELX,LAMP1,stMLnet
AMELX,LAMP2,stMLnet
AMELY,CD63,stMLnet
AMELY,LAMP1,stMLnet
AMELY,LAMP2,stMLnet
AMH,ACVR1,stMLnet
AMH,AMHR2,stMLnet
AMH,BMPR1A,stMLnet
AMH,EGFR,stMLnet
ANG,PLXNB2,stMLnet
ANGPT1,ITGA5,stMLnet
ANGPT1,ITGB1,stMLnet
ANGPT1,TEK,stMLnet
ANGPT2,ITGA5,stMLnet
ANGPT2,ITGB1,stMLnet
ANGPT2,TEK,stMLnet
ANGPT4,TEK,stMLnet
ANGPTL1,ITGA1,stMLnet
ANGPTL1,ITGB1,stMLnet
ANGPTL1,LILRB3,stMLnet
ANGPTL1,TEK,stMLnet
ANGPTL2,ITGA5,stMLnet
ANGPTL2,ITGB1,stMLnet
ANGPTL2,LILRB2,stMLnet
ANGPTL2,LILRB3,stMLnet
ANGPTL2,TLR4,stMLnet
ANGPTL3,ITGA5,stMLnet
ANGPTL3,ITGAV,stMLnet
ANGPTL3,ITGB3,stMLnet
ANGPTL4,CDH11,stMLnet
ANGPTL4,CDH5,stMLnet
ANGPTL4,ITGA5,stMLnet
ANGPTL4,ITGAV,stMLnet
ANGPTL4,ITGB1,stMLnet
ANGPTL4,ITGB3,stMLnet
ANGPTL4,SDC1,stMLnet
ANGPTL4,SDC2,stMLnet
ANGPTL4,SDC3,stMLnet
ANGPTL4,SDC4,stMLnet
ANGPTL7,LILRB3,stMLnet
ANOS1,FGFR1,stMLnet
ANOS1,SDC2,stMLnet
ANPEP,SELE,stMLnet
ANXA1,DYSF,stMLnet
ANXA1,EGFR,stMLnet
ANXA1,FPR1,stMLnet
ANXA1,FPR2,stMLnet
ANXA1,FPR3,stMLnet
ANXA2,TLR2,stMLnet
APELA,APLNR,stMLnet
APLN,APLNR,stMLnet
APOB,CALCR,stMLnet
APOB,ENO1,stMLnet
APOB,ITGAM,stMLnet
APOB,ITGB2,stMLnet
APOB,LDLR,stMLnet
APOB,LRP2,stMLnet
APOB,LRP6,stMLnet
APOB,LRP8,stMLnet
APOB,LSR,stMLnet
APOB,OLR1,stMLnet
APOC3,SDC2,stMLnet
APOC3,TLR2,stMLnet
APOD,LEPR,stMLnet
APOE,CHRNA4,stMLnet
APOE,LDLR,stMLnet
APOE,LRP1,stMLnet
APOE,LRP2,stMLnet
APOE,LRP5,stMLnet
APOE,LRP8,stMLnet
APOE,SCARB1,stMLnet
APOE,SORL1,stMLnet
APOE,VLDLR,stMLnet
AREG,EGFR,stMLnet
AREG,ERBB2,stMLnet
AREG,ERBB3,stMLnet
